State/UT (Col.3),Year-2014 ,Year-2015 ,Year-2016,Percentage ,Rank 
Andhra Pradesh,114604,110693,106774,3.6,13
Arunachal Pradesh,2843,2968,2534,0.1,29
Assam,94337,103616,102250,3.4,14
Bihar,177595,176973,164163,5.5,9
Chhattisgarh,58200,56692,55029,1.8,17
Goa,4466,3074,2692,0.1,28
Gujarat,131385,126935,147122,4.9,11
Haryana,79947,84466,88527,3,15
Himachal Pradesh,14160,14007,13386,0.4,21
Jammu & Kashmir,23848,23583,24501,0.8,20
Jharkhand,45335,45050,40710,1.4,18
Karnataka,137338,138847,148402,5,10
Kerala,206789,257074,260097,8.7,4
Madhya Pradesh,272423,268614,264418,8.9,2
Maharashtra,249834,275414,261714,8.8,3
Manipur,3641,3847,3170,0.1,26
Meghalaya,3679,4079,3366,0.1,25
Mizoram,2140,2228,2425,0.1,30
Nagaland,1157,1302,1376,0,31
Odisha,74569,83360,81460,2.7,16
Punjab,37162,37983,40007,1.3,19
Rajasthan,210418,198080,180398,6.1,6
Sikkim,1065,766,809,0,32
Tamil Nadu,193200,187558,179896,6,7
Telangana,106830,106282,108991,3.7,12
Tripura,5499,4692,3933,0.1,24
Uttar Pradesh,240475,241920,282171,9.5,1
Uttarakhand,9156,10248,10867,0.4,22
West Bengal,185672,179501,176569,5.9,8
Total (States),2687767,2749852,2757757,92.7,NA
A & N Island,746,862,802,0,33
Chandigarh,3221,3248,2996,0.1,27
Dadra & Nagar Haveli,277,269,244,0,35
Daman & Diu,233,302,271,0,34
Delhi,155654,191377,209519,7,5
Lakshadweep,81,50,36,0,36
Puducherry,3584,3440,4086,0.1,23
Total (UTs),163796,199548,217954,7.3,NA
Total (All-India),2851563,2949400,2975711,100,NA
