State,Literacyrate
Uttar pradesh,69.72
maharashtra,82.91
Bihar,63.82
West Bengal,77.08
Andhra pradesh,67.4
Madhya pradesh,70.63
Tamilnadu,80.33
Rajasthan,67.02
Karnataka,75.6
Gujarat,79.31
Odisha,73.45
Kerala,93.91
Telangana,66.5
Jharkhand,67.63
Assam,73.18
Punjab,76.68
Haryana,76.64
Chattisgarh,71.04
Jammu and Kashmir,68.74
Uttarkhand,79.63
Himachal pradesh,83.78
Tripura,87.75
Meghalaya,75.48
Manipur,79.84
Nagaland,80.11
Goa,87.4
Arunachal pradesh,66.95
Mizoram,91.58
Sikkim,82.2
Delhi,86.34
Puchucherry,86.55
Chandigarh,86.43
Andaman and Nicobar,86.27
Dadra and Nagar island,77.65
Daman and Diu,87.07
Lakshadweep,92.28
