Particulars,States,Gender, 11-2013, 12-2013, 1-2014, 2-2014
"Harvesting, Winnowing and Threshing",Andhra Pradesh,Men,214.36,237.08,232.16,238.69
"Harvesting, Winnowing and Threshing",Assam,Men,180.71,178.8,185.45,191.2
"Harvesting, Winnowing and Threshing",Bihar,Men,184.38,173.33,178.43,185.36
"Harvesting, Winnowing and Threshing",Gujarat,Men,133.33,156.79,163.39,164.46
"Harvesting, Winnowing and Threshing",Haryana,Men,339,322.5,315.71,310
"Harvesting, Winnowing and Threshing",Himachal Pradesh,Men,302.43,320.83,320.83,320.83
"Harvesting, Winnowing and Threshing",Karnataka,Men,217,214.63,218,222
"Harvesting, Winnowing and Threshing",Kerala,Men,501.14,501.14,501.14,NA
"Harvesting, Winnowing and Threshing",Madhya Pradesh,Men,140.16,149.95,151.46,153.91
"Harvesting, Winnowing and Threshing",Maharashtra,Men,207.55,208.07,211.39,212.05
"Harvesting, Winnowing and Threshing",Manipur,Men,250,259.44,259.44,259.44
"Harvesting, Winnowing and Threshing",Orissa,Men,176.13,168.35,184.42,190.02
"Harvesting, Winnowing and Threshing",Rajasthan,Men,280.91,247,262.86,245.56
"Harvesting, Winnowing and Threshing",Tamil Nadu,Men,327.83,332.14,351.48,355.29
"Harvesting, Winnowing and Threshing",Tripura,Men,210,210,210,210
"Harvesting, Winnowing and Threshing",Uttar Pradesh,Men,200,186.88,190.12,191.88
"Harvesting, Winnowing and Threshing",West Bengal,Men,203.16,202.67,204.39,198.38
"Harvesting, Winnowing and Threshing",Andhra Pradesh,Women,147.17,167.21,168.71,133.93
"Harvesting, Winnowing and Threshing",Assam,Women,158.33,165.96,172.75,175.56
"Harvesting, Winnowing and Threshing",Bihar,Women,167.45,156.66,163.32,167.99
"Harvesting, Winnowing and Threshing",Gujarat,Women,131.25,150.54,157.41,158.52
"Harvesting, Winnowing and Threshing",Haryana,Women,337.78,330,322,290
"Harvesting, Winnowing and Threshing",Karnataka,Women,162.71,146.9,147.04,149.11
"Harvesting, Winnowing and Threshing",Kerala,Women,424.81,391.67,379.23,379.23
"Harvesting, Winnowing and Threshing",Madhya Pradesh,Women,126.34,135.78,135.63,136.77
"Harvesting, Winnowing and Threshing",Maharashtra,Women,153.81,155.38,152.88,153.75
"Harvesting, Winnowing and Threshing",Manipur,Women,216,220.71,216.43,216.43
"Harvesting, Winnowing and Threshing",Orissa,Women,145.21,141.66,157.6,167.07
"Harvesting, Winnowing and Threshing",Rajasthan,Women,258.18,239,227.14,211.25
"Harvesting, Winnowing and Threshing",Tamil Nadu,Women,211.38,218.15,234.61,234.61
"Harvesting, Winnowing and Threshing",Uttar Pradesh,Women,165.95,159.43,162.43,163.53
"Harvesting, Winnowing and Threshing",West Bengal,Women,185.87,181.96,184.75,182.96
